Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
45-54,Education (Primary/Secondary),Superintendent of Schools,,249410,,,New York,Thornwood,21-30 years,2-4 years,PhD,Man,White
35-44,Business or Consulting,Senior Environmental Engineer,"Technical, no managerial or project management",103000,,,Virginia,Alexandria,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,devops engineer,,95000,,,California,San Jose,5-7 years,5-7 years,College degree,Man,White
25-34,Computing or Tech,Senior Project Manager,,130000,13000,,Massachusetts,Waltham,11-20 years,11-20 years,College degree,Woman,White
35-44,Education (Higher Education),Assistant Dean of Admissions,,100000,0,,Oregon,Eugene,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Nonprofits,Program Manager,,62000,3000,,Wisconsin,Milwaukee,8-10 years,5-7 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Sales Manager,,135000,40000,,Indiana,Indianapolis,11-20 years,11-20 years,College degree,Woman,White
35-44,Government and Public Administration,Digital Librarian,,71000,,,District of Columbia,Alexandria,11-20 years,11-20 years,Master's degree,Man,White
35-44,Engineering or Manufacturing,Corporate Quality Manager,Food safety and quality,88000,8000,,Washington,Seattle,11-20 years,11-20 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Principal Quality Engineer,,135504,43000,,California,Thousnd Oaks,11-20 years,11-20 years,College degree,Man,White
35-44,Computing or Tech,QA Analyst,,75000,,,Idaho,Boise,11-20 years,8-10 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Accounts receivable administrator,,35000,,,Massachusetts,Hyannis,8-10 years,2-4 years,Some college,Woman,White
25-34,Nonprofits,"Senior Coordinator, Fundraising Analytics",,80000,2000,,New York,New York,8-10 years,5-7 years,College degree,Woman,White
55-64,Nonprofits,Community Project Manager,,27000,68000,,California,Pleasant Hill,31-40 years,11-20 years,College degree,Woman,White
45-54,Education (Higher Education),Program Manager,,71000,,,Illinois,Champaign,11-20 years,11-20 years,PhD,Woman,White
25-34,Recruitment or HR,HR Specialist,,49920,,,Texas,San Antonio,5-7 years,2-4 years,College degree,Woman,White
25-34,Education (Higher Education),Talent acquisition specialist,,65000,0,,Michigan,Flint,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Government and Public Administration,Senior Administrative Assistant,,38000,,,Texas,Plano,21-30 years,5-7 years,Some college,Woman,White
35-44,Education (Higher Education),Research Analyst,Data Analyst,78000,0,,Massachusetts,Boston,8-10 years,2-4 years,PhD,Man,White
25-34,Health care,Safety Specialist,I work for a clinical research organization,78000,3000,,North Carolina,Wilmington,5-7 years,5-7 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Senior project manager,,100000,10000,,Connecticut,Newtown,21-30 years,11-20 years,College degree,Woman,White
35-44,Library,Technical Services Manager,,48028,0,,Oregon,Anonymous,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Computing or Tech,Software Engineer,,135600,,,California,Sunnyvale,8-10 years,5-7 years,College degree,Man,White
25-34,Computing or Tech,Senior Software Engineer,,152000,45000,,Colorado,Boulder,8-10 years,5-7 years,Master's degree,Man,White
25-34,Government and Public Administration,visitor use assistant,,32000,0,"I have a 2-4 week unpaid furlough every year, so I don't make quite what my annual salary would be if I worked full time",Arizona,Camp Verde,5-7 years,5-7 years,Master's degree,Man,White
35-44,Computing or Tech,Advanced Systems Administrator,,140000,0,,Massachusetts,Waltham,11-20 years,11-20 years,College degree,Man,Another option not listed here or prefer not to answer
55-64,Insurance,underwriting case manager,,52000,1000,,Virginia,Reston,21-30 years,5-7 years,Master's degree,Woman,White
45-54,Engineering or Manufacturing,Sr. Project Engineer,,175000,0,,Pennsylvania,Plymouth Meeting,11-20 years,11-20 years,College degree,Man,White
25-34,Education (Primary/Secondary),Teacher,,83000,0,,Pennsylvania,Lehigh Valley,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Education (Primary/Secondary),World Language teacher,,69000,,,Maine,Wells,11-20 years,11-20 years,College degree,Woman,White
35-44,Computing or Tech,Data Analyst,,53500,3000,,Texas,Irving,11-20 years,5-7 years,College degree,Man,White
55-64,Computing or Tech,Program Analyst,I provide tech support and software program management.,100000,0,,Pennsylvania,Philadelphia,31-40 years,8-10 years,Master's degree,Woman,White
55-64,Sales,Senior Layout Specialist,page layout and design for print and digital training materials,50003,2000,,North Carolina,Chapel Hill,21-30 years,21-30 years,College degree,Woman,White
35-44,Public library,Library director,,97232,0,,Connecticut,No Answer,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Product Specialist,,100000,0,,California,San Diego,11-20 years,8-10 years,Some college,Man,White
25-34,Transport or Logistics,HR Analyst,,68000,3000,,Arkansas,Lowell,8-10 years,2-4 years,College degree,Woman,White
25-34,Nonprofits,Policy Director,,52000,0,,Connecticut,Hartford,5-7 years,5-7 years,College degree,Woman,White
25-34,Transport or Logistics,Data Integrity,Mostly data entry,36322,250,,Minnesota,Minneapolis,5-7 years,2-4 years,College degree,Woman,White
35-44,Education (Primary/Secondary),Audiologist,,96608,0,,Maryland,Frederick,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Nonprofits,Development Coordinator,"Fundraising for non-profit, the level between entry-level and manager.",50000,2000,,District of Columbia,Washington,5-7 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Customer Support,I’ma one person team for a small company,75000,1000,,Texas,O,11-20 years,5-7 years,College degree,Woman,White
25-34,Retail,Manager,,48000,500,,Colorado,Boulder,5-7 years,2-4 years,College degree,Man,White
35-44,"Marketing, Advertising & PR",Customer Success Manager,,90000,7000,,Ohio,Columbus,11-20 years,2-4 years,College degree,Woman,White
35-44,Transport or Logistics,Flight Attendant,,45000,5000,"Crew members are paid by the flight hour, so it's possible to earn 60-80k if you work all the time.",Washington,Seattle,11-20 years,11-20 years,College degree,Woman,Black or African American
35-44,Engineering or Manufacturing,Commodity Manager,,97000,7000,,Ohio,Cleveland,11-20 years,11-20 years,Master's degree,Woman,White
18-24,Insurance,Insurance Agent,,27000,300,,Kentucky,Ashland,2-4 years,2-4 years,High School,Woman,White
55-64,Engineering or Manufacturing,Senior Electrical Engineer,Design-build construction firm,112300,35000,,Ohio,Cleveland,31-40 years,31-40 years,College degree,Woman,White
25-34,Transport or Logistics,Director,,175000,30000,,New York,New York,8-10 years,8-10 years,Master's degree,Man,White
25-34,Computing or Tech,IT consultant,,116000,3000,,Minnesota,Minneapolis,11-20 years,8-10 years,Some college,Woman,White
55-64,Nonprofits,Records Coordinator/Auditor,,50000,0,,New York,Syracuse,31-40 years,31-40 years,College degree,Woman,White
35-44,Business or Consulting,President,,175000,25000,,Iowa,Des Moines,11-20 years,8-10 years,College degree,Man,Another option not listed here or prefer not to answer
35-44,Philanthropy,Grant Administrator,,55700,12000,,New York,New York,11-20 years,2-4 years,College degree,Woman,White
25-34,Utilities & Telecommunications,Sr. Graphic Designer,,60900,3000,,New York,Albany,8-10 years,5-7 years,College degree,Woman,White
25-34,Government Relations,Regional Director,,130000,5000,,District of Columbia,Washington,8-10 years,8-10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Education (Higher Education),assistant director of annual fundraising,,82000,2000,,Rhode Island,Providence,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Health care,Resident Physician,,60275,6028,,Michigan,Ann Arbor,2-4 years,1 year or less,"Professional degree (MD, JD, etc.)",Man,Asian or Asian American
35-44,Education (Higher Education),Librarian,Department Head,86000,,,Maryland,Baltimore Area,21-30 years,21-30 years,Master's degree,Woman,White
45-54,Insurance,Senior Underwriter Management Liability,,78000,10000,,Connecticut,Hartford,11-20 years,8-10 years,College degree,Woman,White
35-44,Nonprofits,Creative Director,,89000,1000,,District of Columbia,Washington,11-20 years,11-20 years,College degree,Woman,White
25-34,Transport or Logistics,Director of Transportation,,62000,5000,,Iowa,Waterloo,5-7 years,5-7 years,Some college,Man,White
35-44,Government and Public Administration,Business Intelligence Analyst,,80000,9600,,California,San Bernardino,11-20 years,2-4 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Computing or Tech,Senior Director of HR,,110000,25000,,Texas,Austin,5-7 years,5-7 years,,Woman,White
35-44,Recruitment or HR,Human Resources Manager,,71944,0,,Hawaii,Laie,8-10 years,8-10 years,Master's degree,Woman,Another option not listed here or prefer not to answer
45-54,Education (Higher Education),professor,at a community college,58000,7000,,Texas,Fort Worth,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Business Analyst,,70000,0,,California,Los Angeles,8-10 years,1 year or less,College degree,Woman,White
35-44,Education (Primary/Secondary),High school science teacher,,38000,0,,Iowa,Lenox,11-20 years,2-4 years,College degree,Woman,White
35-44,Nonprofits,Head of Technical Services,Librarian,76000,0,,Oregon,Portland,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Health care,Certified Pharmacy Technician,,55000,3000,,Colorado,Highlands Ranch,21-30 years,11-20 years,Some college,Woman,White
35-44,Computing or Tech,Software Engineer,,249000,60000,,New York,New York,21-30 years,21-30 years,Master's degree,Man,White
35-44,Government and Public Administration,Project Manager,,77300,0,,Virginia,Richmond,11-20 years,8-10 years,Master's degree,Woman,White
35-44,Computing or Tech,Software engineer,,110000,,,North Carolina,Raleigh,11-20 years,11-20 years,Master's degree,Woman,Asian or Asian American
25-34,Education (Primary/Secondary),Science Teacher (Public High School),,53000,1000,,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
45-54,Health care,Data Analyst,,80000,1300,,North Carolina,Asheville,21-30 years,2-4 years,PhD,Woman,White
35-44,Law,Attorney,"Private practice, 10 years in, civil defense lawyer",147000,5000,,Louisiana,New Orleans,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,"Accounting, Banking & Finance",Senior Support Representative,,39000,2000,,Florida,St. Petersburg,11-20 years,5-7 years,High School,Woman,White
35-44,Government and Public Administration,Library Associate,"I do all the same work as a Librarian, without the Masters Degree or title or pay",34000,0,,Arizona,Tucson,8-10 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,COO,,130000,0,,District of Columbia,Washington,11-20 years,11-20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
45-54,Health care,Senior Donation Coordinator,Organ/Tissue Donation Hospital Account Manager,96000,,,Illinois,Chicago,11-20 years,5-7 years,Master's degree,Woman,Black or African American
45-54,Health care,Project Manager,(@ a research center associated with a hospital),90000,0,,Washington,Seattle,11-20 years,11-20 years,College degree,Woman,White
25-34,Sales,Area Retail Sales Manager,I manage a district of retail stores for a major wireless carrier.,66000,32000,Salary + Commission,Utah,Salt Lake,5-7 years,5-7 years,College degree,Man,White
25-34,Education (Higher Education),Project Manager/Analyst,,69422,0,,Oregon,Portland,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Law,Associate Attorney,,245000,10000,Additional Currency a guaranteed bonus with hours goal,California,San Francisco,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,Retail,Boutique assistant,,42000,6000,,New York,New York,8-10 years,8-10 years,Some college,Woman,"Black or African American, Hispanic, Latino, or Spanish origin"
35-44,Computing or Tech,Senior JavaScript Developer,,91000,0,,Nebraska,Omaha,5-7 years,2-4 years,College degree,Man,White
25-34,Computing or Tech,Senior Program Manager,,120000,20000,,New York,New York,8-10 years,5-7 years,Master's degree,Woman,Asian or Asian American
45-54,Computing or Tech,Customer service,,41600,,,Indiana,Indianapolis,21-30 years,11-20 years,College degree,Man,White
25-34,Publishing,Publishing Specialist,,66040,,,Pennsylvania,Philadelphia,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Computing or Tech,Engineering Manager,,225000,265000,,Washington,Seattle,11-20 years,11-20 years,Master's degree,Man,White
55-64,Education (Primary/Secondary),School Librarian,,80000,0,,Massachusetts,Needham,31-40 years,31-40 years,Master's degree,Woman,White
25-34,Computing or Tech,Account Manager,Federal IT Sales,118000,136000,,Virginia,Herndon,5-7 years,2-4 years,College degree,Woman,White
35-44,Health care,Senior Health Educator,Cultural and linguistic specialist w/ anthropology PhD. Role is more of a Program Manager position.,93000,3500,,"California, Oregon",Portland,8-10 years,8-10 years,PhD,Woman,White
25-34,Government and Public Administration,Business Manager,,41000,,,Missouri,St. Louis,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Computing or Tech,Product Manager,,143000,92000,,Washington,Seattle,8-10 years,5-7 years,College degree,Woman,Asian or Asian American
35-44,Government and Public Administration,Contact Tracing Lead Investigator,,62400,,I work as a temp hired to help a large company complete a state government contract.,Indiana,Indianapolis,11-20 years,1 year or less,College degree,Woman,White
25-34,Computing or Tech,Marketing Campaign Manager,,110000,0,,California,Los Angeles,11-20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
18-24,Engineering or Manufacturing,Development Engineering Technician,,42000,,,Ohio,Perrysburg,2-4 years,2-4 years,College degree,Woman,White
25-34,Business or Consulting,Training Specialist,,84000,,,Texas,Austin,2-4 years,1 year or less,College degree,Non-binary,White
25-34,Nonprofits,Family Education,"Healthy Relationships, Parenting Classes, Family Planning",37500,,,Arizona,Tucson,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Libraries,Adult Public Services Manager,,60000,0,,Ohio,Northeast Ohio Suburb,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Government and Public Administration,Epidemiologist,,78000,0,,Virginia,Richmond,11-20 years,8-10 years,Master's degree,Woman,"Native American or Alaska Native, White"
35-44,Business or Consulting,Project Manager,,73000,0,,District of Columbia,Washington,11-20 years,11-20 years,Master's degree,Man,White
25-34,Government and Public Administration,Program Specialist,"I “wear many hats”, but primary duties include project management and data collection and analysis.",48000,0,,Texas,Austin,2-4 years,2-4 years,College degree,Man,White
35-44,Engineering or Manufacturing,Project Engineer,Mechanical Engineer,101000,3500,,Wisconsin,Milwaukee,11-20 years,11-20 years,Master's degree,Man,White
25-34,"Marketing, Advertising & PR",Content Writer,,43680,300,,Indiana,Indianapolis,8-10 years,2-4 years,College degree,Woman,White
35-44,Insurance,SeniorActuary,,240000,84000,,New York,New York,11-20 years,11-20 years,College degree,Man,"Asian or Asian American, White"
45-54,Education (Higher Education),Sr. Systems Engineer,,93500,0,,North Carolina,Durham,21-30 years,21-30 years,Some college,Man,White
25-34,Law,Associate Attorney,2nd year of practice,182000,12000,,District of Columbia,Washington,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Government and Public Administration,Health Policy Analyst Advanced,,71958,0,,Maryland,Baltimore,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Health care,Nurse practitioner,,100000,,,Ohio,Dayton,2-4 years,2-4 years,Master's degree,Woman,White
55-64,"Accounting, Banking & Finance",Director HR,,200000,50000,,Washington,Seattle,41 years or more,31-40 years,College degree,Woman,White
25-34,Computing or Tech,Senior Corporate Counsel,Commercial Contracts,151000,,,Massachusetts,Boston,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Law,Assistant Director,,100000,6000,,New Jersey,Passaic County,11-20 years,11-20 years,Master's degree,Man,White
25-34,Business or Consulting,Senior consultant,,85000,,,District of Columbia,Washington,8-10 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,Software Engineer,,185000,112000,,New York,New York,8-10 years,5-7 years,Master's degree,Woman,Asian or Asian American
25-34,Engineering or Manufacturing,Materials Engineer,,87000,3000,,Michigan,Novi,5-7 years,5-7 years,Master's degree,Man,White
35-44,Education (Higher Education),Assistant Director of Development,"Higher Ed Advancement/Development - fundraising, alumni engagement, etc",63000,0,,Georgia,Atlanta,5-7 years,2-4 years,College degree,Woman,White
35-44,Education (Higher Education),Executive Assistant,,54723,0,,Michigan,Ann Arbor,11-20 years,2-4 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",marketing communications consultant,,73000,5000,,Illinois,Chicago,8-10 years,5-7 years,College degree,Woman,White
35-44,Business or Consulting,Campaign Manager,Community Relations + Government Relations,72000,7500,,Tennessee,Nashville,11-20 years,11-20 years,College degree,Man,White
25-34,Computing or Tech,Data scientist,,104000,,,Virginia,Tysons Corner,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Law,Case Manager,paralegal at small law firm,40000,,,Minnesota,Minneapolis,5-7 years,2-4 years,College degree,Woman,White
25-34,Nonprofits,Communications Manager,,74000,,,Massachusetts,Worcester,11-20 years,8-10 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Administrative Assistant,,35360,2000,,Wyoming,Rock Springs,8-10 years,2-4 years,Some college,Woman,White
35-44,Engineering or Manufacturing,Financial Analyst,,83000,,,Wisconsin,Milwaukee,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Health care,Medication History Specialist,Admission Med Rec,44000,700,,Florida,Orlando,11-20 years,8-10 years,College degree,Non-binary,White
45-54,Health care,Nurse practitioner,,75000,0,,California,Sacramento,8-10 years,8-10 years,Master's degree,Woman,White
35-44,"Marketing, Advertising & PR",Freelance content writer/copy editor,,77000,0,,Connecticut,Manchester,21-30 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Senior Software Engineer,,185000,,,California,San Francisco,11-20 years,11-20 years,Master's degree,Woman,Asian or Asian American
25-34,Research,Graduate Research Assistant,,28500,,,Georgia,Atlanta,2-4 years,2-4 years,College degree,Woman,White
25-34,Retail,Buyer/Manager,,67000,,,California,San Francisco,8-10 years,5-7 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Associate Project Manager,Junior-most project management level at my firm,89700,1500,,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Man,White
25-34,"Marketing, Advertising & PR",Marketing Coordinator,The team I work on is mostly concerned about sales and support our advertising clients. I haven't worked at a coordinator capacity in years.,54900,1100,Everyone gets a bonus yearly and mine because of my role is 2% of my salary others get up to 10% depending on title,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Social Work,Clinical social worker,"Private practice, contracted to work for a group practice (gig worker, no healthcare offered)",55000,0,"My income fluctuates wildly & is not a salary. I am a 1099 employee. I might make $3k a month or 6. Never know what insurance is going to do or of ppl will skip out on their bill. I also am responsible for paying ALL of my taxes/healthcare etc. It ends up being a lot less money. I'm also incredibly disabled. I think clients assume I make a lot of money & don't realize the business gets a cut, then the IRS, then the state, then my insurance company, then all my debts. Being disabled is incredibly expensive. Anyway, I don't think I'm paid enough.",Michigan,Ann Arbor,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Government and Public Administration,Deputy Attorney General,This job requires state bar licensure to practice as an attorney,57324,0,,Indiana,Indianapolis,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Nonprofits,Social Media Manager,,62000,,,District of Columbia,Washington,5-7 years,5-7 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance","Manager, Procurement Operations",,113400,12000,,California,San Francisco,11-20 years,2-4 years,Some college,Woman,"Black or African American, White"
25-34,Engineering or Manufacturing,UX Researcher 2,,90000,0,,Colorado,Denver,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Veterinary,Client Service Representative,,31200,0,,Virginia,Richmond,21-30 years,11-20 years,High School,Woman,White
25-34,Health care,Office Coordinator,,36500,0,,Mississippi,Jackson,8-10 years,2-4 years,Some college,Woman,White
55-64,Insurance,Sr. Director of Compliance,,159000,45000,,Pennsylvania,Philadelphia,21-30 years,8-10 years,College degree,Woman,White
35-44,Education (Higher Education),Administrative Specialist,,45000,0,,Georgia,Athens,11-20 years,11-20 years,College degree,Woman,White
25-34,Scientific research,Research Assistant,Technician/field work lead,40500,,,Massachusetts,Woods Hole,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
18-24,Engineering or Manufacturing,Associate Engineer,"I don't do design work, I work for a consulting company that helps find ways to save energy for building owners.",61200,2000,,Minnesota,Minneapolis,2-4 years,2-4 years,,Woman,White
25-34,Retail,QA Manager,,70000,5000,,Illinois,Chicago,8-10 years,1 year or less,College degree,Woman,White
35-44,Sales,Assistant manager,,48750,0,,Texas,Austin,11-20 years,11-20 years,Master's degree,Woman,White
18-24,Nonprofits,Program Associate,,53400,250,,District of Columbia,Washington,2-4 years,2-4 years,College degree,Non-binary,Asian or Asian American
25-34,Government and Public Administration,Operations Research Analyst,,122530,1800,,Virginia,Fort Belvoir,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),Online high school teacher,,30000,0,,Virginia,Lynchburg,11-20 years,8-10 years,College degree,Woman,White
25-34,"Leisure, Sport & Tourism",Assistant Director,,50000,2000,,New York,Glens Falls,8-10 years,8-10 years,College degree,Woman,White
35-44,Hospitality & Events,Dining Director,,65000,3000,,Illinois,Naperville,11-20 years,11-20 years,College degree,Woman,White
25-34,Defense,research scientist,,86953,500,,Ohio,Dayton,2-4 years,2-4 years,PhD,Woman,White
35-44,Computing or Tech,Principle SRE,,150000,,Small startup,Massachusetts,Cambridge,21-30 years,21-30 years,Some college,Man,White
25-34,Government and Public Administration,Senior Counsel,,80000,12000,,District of Columbia,DC,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Biotech,"Associate director, clinical",,190000,57000,,Massachusetts,Cambridge,11-20 years,11-20 years,PhD,Woman,White
35-44,"Marketing, Advertising & PR",Tech Lead,Javascript Web Development,85000,1000,,Oregon,Portland,11-20 years,5-7 years,Master's degree,Man,White
25-34,Law,Attorney,Associate,80000,4000,,Indiana,Chicago,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,Data Scientist,,106000,6000,,Texas,Austin,8-10 years,2-4 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Accounting Intern,,27040,3120,,Idaho,Idaho Falls,1 year or less,1 year or less,College degree,Woman,White
25-34,Health care,Postmarket Surveillance Medical Device Analyst,Reports of issues with medical devices are processed and sent to regulatory bodies and to the quality department to ensure safe and functioning devices,66000,0,,Minnesota,St. Paul,5-7 years,2-4 years,College degree,Other or prefer not to answer,White
55-64,Engineering or Manufacturing,Vibration Engineer,I use vibration to evaluate the mechanical condition of rotating equipment.,133000,50000,,Indiana,Terre Haute,31-40 years,21-30 years,College degree,Man,White
35-44,Education (Higher Education),Law Librarian,Reference & Instruction,58000,,,Pennsylvania,Philadelphia,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Health care,"Associate Director, marketing",,217000,68000,,California,San Francisco,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,"Monitoring, Evaluation, and Learning Manager",,60000,0,,North Carolina,Chapel Hill,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Computing or Tech,Principal Architect,,150000,95000,,Colorado,Denver,21-30 years,21-30 years,College degree,Man,Another option not listed here or prefer not to answer
25-34,Business or Consulting,Planning analyst,I am a consultant who works for a planning and engineering firm,75000,30000,"Additional compensation varies, I entered the minimum amount",Florida,Panhandle Region,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Consumer Packaged Goods,"Director, Advanced Analytics and Statistics",,160000,80000,,New York,Rochester,11-20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
35-44,Nonprofits,Development Officer,,8000,6000,,Pennsylvania,Philadelphia,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Education (Primary/Secondary),Teacher,"High school, English",75000,,,Ohio,Hudson,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Engineering or Manufacturing,Chemical Engineer,Nuclear research,116000,,,Idaho,Idaho Falls,11-20 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Developer,,77200,9000,,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
45-54,"Marketing, Advertising & PR",Quality Assurance Analyst,,125000,0,,New York,New York,31-40 years,11-20 years,Some college,Man,White
25-34,Business or Consulting,Proposal coordinator,Pursuit and proposal specialist,68000,1800,,Texas,Houston,8-10 years,5-7 years,College degree,Woman,White
35-44,Government and Public Administration,Library Director,"Public Library, small suburb",97000,,,Massachusetts,Boston Area,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Law,Associate Attorney,,132000,,bonus structure is dependent on hours (150 for every hour worked over annual minimum),California,Sacramento,8-10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Health care,Facilities Manager,,90000,1000,,North Carolina,Charlotte,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Senior Manager of Content,I help oversee the website for a nonprofit. I create strategy but also write and edit myself.,100400,,,New York,New York,21-30 years,1 year or less,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Executive Assistant,,80000,10000,,North Carolina,Raleigh,11-20 years,11-20 years,College degree,Woman,White
25-34,Health care,Research Data Coordinator,,45000,0,,Texas,Dallas,8-10 years,8-10 years,College degree,Woman,White
25-34,Recruitment or HR,HR Manager,,78500,500,,Illinois,Chicago,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Education (Higher Education),associate professor,computer science,200000,0,,Massachusetts,Boston,8-10 years,8-10 years,PhD,Man,Asian or Asian American
45-54,Engineering or Manufacturing,Production Fabricator ff,,37860,8000,,Maine,Portland,21-30 years,1 year or less,Master's degree,Woman,White
45-54,Law,Partner,Small litigation firm,96000,0,,Massachusetts,Boston,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,"Accounting, Banking & Finance",Staff Accountant,,65000,6500,,Massachusetts,Cambridge,5-7 years,2-4 years,College degree,Woman,White
18-24,Education (Primary/Secondary),EL kindergarten teacher,,36000,,,Illinois,Monmouth,2-4 years,2-4 years,College degree,Woman,White
25-34,Government and Public Administration,Actuary 1,,62000,0,,Texas,Austin,2-4 years,2-4 years,College degree,Man,White
35-44,"Marketing, Advertising & PR",Product Manager,,100000,10000,,Indiana,Indianapolis,11-20 years,5-7 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Senior Project Engineer,Civil Engineer working in site development,108160,14000,,California,San Francisco,5-7 years,5-7 years,College degree,Woman,White
45-54,Education (Higher Education),Research Manager,I work in an academic lab as a staff scientist,70800,0,,California,Berkeley,21-30 years,11-20 years,PhD,Woman,White
35-44,Engineering or Manufacturing,Development Engineer II,,95000,5000,,Massachusetts,Boston,11-20 years,5-7 years,College degree,Man,White
45-54,Software,Director of Operations,,188000,2400,,Oregon,Portland,21-30 years,11-20 years,College degree,Woman,White
25-34,Education (Higher Education),Testing Center Coordinator,,45000,0,,Michigan,Bay,5-7 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,Senior Team Lead,,152000,15000,,Massachusetts,Natick,11-20 years,11-20 years,College degree,Woman,White
35-44,Law,Assistant Counsel,Litigator,82000,0,,Texas,Austin,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,White
25-34,Health care,Registered nurse,,60000,,,Texas,Austin,5-7 years,2-4 years,College degree,Woman,White
35-44,Health care,Registered Dietitian,,74000,4000,,Ohio,Columbus,11-20 years,11-20 years,Master's degree,Woman,Asian or Asian American
45-54,"Accounting, Banking & Finance",Director of Learning & Development,,114000,10000,,Minnesota,St. Paul,21-30 years,21-30 years,Master's degree,Woman,White
25-34,Nonprofits,Program Coordinator,,50000,1550,"I'm not expected to work overtime, but my annual salary is low enough that I am a full time, non exempt employee and thus do need to receive overtime pay anytime I log more than 35 hours of work a week.",New York,New York,5-7 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Business or Consulting,Project Manager,Expertise: Public Safety,91000,5000,,Alabama,Mobile,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),Chief Process Officer,,57000,,,Kansas,Leawood,11-20 years,11-20 years,College degree,Woman,White
