Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,Currency,"If ""Other,"" please indicate the currency here:","If your income needs additional context, please provide it here:",Work Country,State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
25-34,Computing or Tech,Senior Data Analyst,,88500,8500,USD,,,United States of America,Illinois,Chicago,5-7 years,1 year or less,Master's degree,Man,White
25-34,Media & Digital,UX Designer,,110000,9000,USD,,Bonus depends on performance,United States of America,District of Columbia,Washington,11-20 years,2-4 years,College degree,Woman,"Black or African American, White"
35-44,Business or Consulting,HR Director,,172400,43000,USD,,,United States of America,New York,New York,11-20 years,11-20 years,College degree,Woman,White
25-34,Utilities & Telecommunications,Data Entry and Records Specialist,,29120,,USD,,,United States of America,Wisconsin,Madison,5-7 years,1 year or less,Some college,Non-binary,White
55-64,Law,Senior Corporate Counsel,,180000,50000,USD,,,United States of America,Virginia,Reston,31-40 years,21-30 years,"Professional degree (MD, JD, etc.)",Man,Asian or Asian American
45-54,Health care,Occupational Therapist,,99840,,USD,,,United States of America,Idaho,Idaho Falls,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Computing or Tech,Principal Recruiter,manager level individual contributor,115500,13035,USD,,,United States of America,Colorado,Colorado Springs,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Nonprofits,Director of measurement and learning,Impact evaluation,100360,0,USD,,,United States of America,California,San Francisco,2-4 years,1 year or less,PhD,Woman,White
35-44,Health care,Proposal writer,,88000,3500,USD,,,United States of America,Missouri,Saint Louis,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Education (Primary/Secondary),After School Program Leader,,27000,0,USD,,,United States of America,Maine,Portland,8-10 years,2-4 years,Master's degree,Woman,White
25-34,Computing or Tech,Senior Front-End Web Developer,,88000,3000,USD,,,United States of America,Michigan,Grand Rapids,8-10 years,8-10 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Digital Marketing Strategist,,65000,,USD,,,United States of America,Oregon,Portland,5-7 years,5-7 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Senior Technical Writer,,56000,0,USD,,,United States of America,Michigan,St. Joseph,11-20 years,11-20 years,College degree,Woman,White
55-64,Engineering or Manufacturing,Business support analyst,Bid and contract administrator,65409,3000,USD,,,United States of America,Delaware,Wilmington,31-40 years,5-7 years,Some college,Woman,White
45-54,Nonprofits,"Production supervisor, Books","Manage staff who produce books, from copyediting through printing",80000,500,USD,,,United States of America,District of Columbia,Washington,11-20 years,11-20 years,College degree,Man,White
35-44,Manufacturing,Purchasing,,48000,0,USD,,,United States of America,Colorado,Longmont,11-20 years,8-10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Computing or Tech,Engineering Manager,,120000,0,USD,,I do not work at a for profit company; I work in civic tech.,United States of America,Connecticut,New Haven,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Health care,Proofreader,,43680,0,USD,,,United States of America,Illinois,Lake Zurich,5-7 years,5-7 years,College degree,Non-binary,White
25-34,Sales,Assistant Sales Manager,,29500,40500,USD,,,United States of America,Massachusetts,Haverhill,11-20 years,8-10 years,College degree,Man,White
35-44,Nonprofits,Project Director,I talk people who don't work for me into making change together,65000,1000,USD,,,United States of America,South Carolina,Charleston Area,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Recruitment or HR,Project Coordinator,,72000,10000,USD,,,United States of America,New Jersey,Princeton,8-10 years,2-4 years,Master's degree,Woman,White
35-44,Sales,Sales Manager,,80000,15000,USD,,,United States of America,California,Santa Cruz,11-20 years,8-10 years,Some college,Woman,White
25-34,Law,Public defender,Trial attorney,69000,100,USD,,#ERROR!,United States of America,Utah,Salt Lake,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Beverage,Associate Production Planning Manager,,67000,3500,USD,,"Eligible for bonus up to 10% of salary, dependent on company performance. Historically has not exceeded 5%",United States of America,New York,Queens,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Retail,Assistant Buyer,More Administrative Assistant/Receiving than buying,46000,1500,USD,,"Hourly, past years range from 42k-49k overtime dependent",United States of America,Massachusetts,Wayland,2-4 years,2-4 years,Some college,Woman,White
25-34,Government and Public Administration,IT specialist,Government IT,78000,2000,USD,,,United States of America,North Dakota,Fort Bragg,8-10 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,Senior Advisor,,92000,0,USD,,,United States of America,District of Columbia,Washington,11-20 years,11-20 years,Master's degree,Man,White
45-54,"Accounting, Banking & Finance",Salesforce Training/Change Management Professional,,112000,5500,USD,,,United States of America,Virginia,Mclean,21-30 years,11-20 years,Master's degree,Woman,Black or African American
35-44,Health care,Administrative Director,,70500,500,USD,,,United States of America,Texas,Plano,11-20 years,8-10 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Quality Engineer,,81000,5000,USD,,,United States of America,California,Los Angeles,2-4 years,1 year or less,College degree,Woman,Asian or Asian American
55-64,Law,Assistant General Counsel,,280000,200000,USD,,Includes bonus and RSus (restricted stock units),United States of America,California,San Francisco,31-40 years,31-40 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Education (Higher Education),Professor,,160000,0,USD,,,United States of America,Kentucky,Louisville,21-30 years,21-30 years,PhD,Man,White
18-24,Computing or Tech,Cyber Security Consultant,,80000,15000,USD,,,United States of America,Texas,Dallas,1 year or less,1 year or less,College degree,Woman,White
25-34,Transport or Logistics,Fulfillment Supervisor,"In-house logistics to high value accounts. Company makes tea pots, we ensure the tea pots make it to Target, etc. Two direct reports.",53000,0,USD,,,United States of America,Illinois,Suburban Chicago,2-4 years,2-4 years,College degree,Man,White
18-24,Computing or Tech,Product Manager,,60000,5000,USD,,,United States of America,Minnesota,Duluth,2-4 years,2-4 years,College degree,Man,White
35-44,Insurance,Trainer,,58000,2000,USD,,,United States of America,Ohio,Mason,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Computing or Tech,Web Development Director,,150000,16000,USD,,,United States of America,California,San Diego,11-20 years,11-20 years,College degree,Man,White
35-44,Education (Primary/Secondary),Teacher,,65000,0,USD,,,United States of America,Texas,Houston,11-20 years,11-20 years,Master's degree,Non-binary,White
18-24,Politics,Senior Associate,"Basically the third level (counting from entry level) of a 6-level progression where the basic job is the same, but tasks within that get more advanced (going from proofing memos to writing them, etc.)",60000,35000,USD,,"I wasn't really sure how to answer the additional compensation question. Two years ago, I got a 25% bonus (10k on a 40k salary). Last year, I got 177% in bonuses (79.5k on a 45k salary). ¯\_(ツ)_/¯",United States of America,District of Columbia,DC,2-4 years,2-4 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Financial advisor,,80000,20000,USD,,,United States of America,Oregon,Portland,5-7 years,5-7 years,College degree,Woman,White
25-34,Education (Primary/Secondary),High school Math teacher,,53000,3000,USD,,,United States of America,Florida,Fort Lauderdale,5-7 years,5-7 years,Master's degree,Man,White
45-54,Computing or Tech,Lead Business System Analyst,,107705,0,USD,,,United States of America,Minnesota,Minneapolis,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Computing or Tech,Software Engineer 2 Lead,I do both technical work and manage an employee,93000,10000,USD,,Bonus is dependent on components performance and my performance,United States of America,Massachusetts,Boston,8-10 years,2-4 years,Master's degree,Woman,White
18-24,Engineering or Manufacturing,Field Construction engineer,Field engineering for Road and bridges,65520,19500,USD,,Lots of overtime,United States of America,Michigan,Marquette,2-4 years,2-4 years,College degree,Man,White
25-34,I work in the finance function of a large global conglomerate,Sr. Financial Analyst,,90000,0,USD,,,United States of America,North Carolina,Charlotte,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Nonprofits,Community Organizer,,36000,,USD,,,United States of America,Missouri,St. Louis,8-10 years,1 year or less,Some college,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Government and Public Administration,Planning Process Coordinator,,45500,,USD,,,United States of America,Georgia,Atlanta,21-30 years,1 year or less,College degree,Woman,White
18-24,Law,Paralegal Casehandler,,54000,,USD,,Includes money for transportation,United States of America,New York,New York,2-4 years,2-4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Landscape Contracting,Maintenance Administrator,Also Accounts Receivable,47840,0,USD,,,United States of America,Idaho,Boise,8-10 years,8-10 years,College degree,Woman,White
25-34,Computing or Tech,Developer,,83000,12000,USD,,,United States of America,North Carolina,Charlotte,8-10 years,5-7 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Director of Operations,,60000,500,USD,,Eligible for bonus based on hours billed to clients,United States of America,Washington,Seattle,8-10 years,8-10 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Validation Engineer,,102000,10000,USD,,,United States of America,Michigan,Detroit,2-4 years,2-4 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Executive Assistant,,95000,,USD,,,United States of America,New York,New York,8-10 years,8-10 years,College degree,Woman,White
35-44,Education (Higher Education),Finance and Accounting Manager,,86796,0,USD,,,United States of America,Oregon,Corvallis,11-20 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Recruitment or HR,Associate Director of Recruitment and Engagement,,67800,0,USD,,,United States of America,Louisiana,Baton Rouge,11-20 years,2-4 years,Master's degree,Woman,White
35-44,Social Work,Licensed social worker,,85000,0,USD,,,United States of America,New York,New York,8-10 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Education (Higher Education),Associate Director,,68000,0,USD,,,United States of America,New York,New York,5-7 years,2-4 years,PhD,Woman,White
25-34,Computing or Tech,Quality Assurance Lead,Video game development,60000,500,USD,,,United States of America,California,Irvine,5-7 years,5-7 years,Master's degree,Man,White
35-44,Education (Higher Education),Instructor,History,53000,,USD,,,United States of America,South Carolina,Pendleton,11-20 years,11-20 years,Master's degree,Woman,White
45-54,"Accounting, Banking & Finance",Payroll and Benefit Coordinator,,42827,,USD,,,United States of America,Indiana,Indianapolis,21-30 years,2-4 years,Some college,Woman,White
35-44,Nonprofits,"Senior Director, programs",,80000,,USD,,,United States of America,New York,New York,11-20 years,11-20 years,College degree,Woman,Asian or Asian American
25-34,Nonprofits,Operations Director,,103000,11300,USD,,10% of salary contributed to retirement account (not a match),United States of America,District of Columbia,Washington,11-20 years,8-10 years,College degree,Woman,White
65 or over,Engineering or Manufacturing,Mechanical drafter,,59426,400,USD,,,United States of America,Washington,Kent,41 years or more,21-30 years,College degree,Man,White
35-44,Computing or Tech,"Director of Engineering, Platform",,240000,100000,USD,,,United States of America,Colorado,Denver,11-20 years,11-20 years,College degree,Man,White
25-34,Computing or Tech,Software Developer,,67500,12000,USD,,,United States of America,Michigan,Grand Rapids,5-7 years,5-7 years,College degree,Man,White
35-44,Government and Public Administration,Immigration Officer,usCIS Immigration Officer in the fraud detection/national security section of a field office,107146,,USD,,Federal employee on GS pay scale with DC-area locality pay,United States of America,Virginia,Arlington,11-20 years,8-10 years,Master's degree,Woman,White
35-44,"Accounting, Banking & Finance",Senior Relationship Manager,LIHTC Investor Relations (Non-profit Finance),116000,75000,USD,,,United States of America,Illinois,Chicago,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Software Engineer for Safety Critical & Fault Tolerant Systems,"Software development for hardware platforms, typically in defense or space industries, that must be developed according to rigorous requirements and verification.",96000,,USD,,,United States of America,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Program Associate,,499945,,USD,,,United States of America,District of Columbia,Washington,2-4 years,2-4 years,Master's degree,Woman,Black or African American
25-34,Computing or Tech,Computer Systems Analyst,Business Intelligence Developer,81500,0,USD,,,United States of America,"California, Maryland",Los Angeles,8-10 years,5-7 years,College degree,Man,White
25-34,Engineering or Manufacturing,OSP Engineer,,74500,15000,USD,,,United States of America,North Carolina,Raleigh,5-7 years,2-4 years,College degree,Man,White
45-54,Education (Higher Education),Executive Assistant,Executive Assistant to the Vice President of Human Resources,76500,0,USD,American Dollars,,United States of America,Washington,Seattle,31-40 years,21-30 years,College degree,Woman,White
35-44,Education (Higher Education),Library Director,,60000,0,USD,,,United States of America,Oregon,Portland,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Nonprofits,Senior Program Manager,,95000,0,USD,,,United States of America,District of Columbia,Washington,8-10 years,5-7 years,College degree,Woman,White
25-34,Health care,Speech-Language Pathologist,"contract employee, work with private clients and in a MS",60000,0,USD,,,United States of America,Ohio,Medina,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Hospitality & Events,Analyst,Accounting Systems Analyst,57000,,USD,,,United States of America,Kentucky,Louisville,5-7 years,2-4 years,Master's degree,Man,Asian or Asian American
35-44,Computing or Tech,Engineering manager,,185000,18500,USD,,,United States of America,California,Los Angeles,11-20 years,11-20 years,Master's degree,Woman,White
45-54,Computing or Tech,Business Analyst,,125000,,USD,,,United States of America,Virginia,Fairfax,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Fitness,Fitness Specialist,Personal trainer and group fitness instructor at a military fitness center,40000,,USD,,"As a flex employee, I work 25-35 hrs/week",United States of America,Washington,Bremerton,21-30 years,5-7 years,College degree,Woman,White
25-34,Child care,Nanny,,38000,1000,USD,,,United States of America,California,Los Angeles,11-20 years,8-10 years,Some college,Woman,White
35-44,Government and Public Administration,Regulatory Specialist,I regulate animal feeds for the state.,62000,0,USD,,,United States of America,Kentucky,Lexington,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Nonprofits,Director,,110000,,USD,,,United States of America,Virginia,Annandale,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Natural resources,Conservation Coordinator,,56997,,USD,,,United States of America,Washington,Pullman,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Manufacturing,Accounts Payable Specialist/Cost Accountant,,50000,2000,USD,,,United States of America,California,Madera,11-20 years,2-4 years,College degree,Woman,White
35-44,"Marketing, Advertising & PR",Ad policy manager,,150000,0,USD,,Base salary plus restricted stock reward,United States of America,New York,New York,11-20 years,5-7 years,College degree,Man,White
35-44,Nonprofits,Director of Development,,163000,,USD,,,United States of America,Virginia,Arlington,11-20 years,11-20 years,College degree,Woman,White
35-44,Nonprofits,Executive Director,,50000,,USD,,,United States of America,North Carolina,Hendersonville,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Nonprofits,Major Gifts Officer,,69500,500,USD,,,United States of America,Virginia,Alexandria,11-20 years,8-10 years,Master's degree,Woman,White
55-64,Computing or Tech,Business Analyst,Supply Chain Analysis & Forecasting,65000,5000,USD,,,United States of America,Washington,Kent,21-30 years,8-10 years,College degree,Woman,White
25-34,Health care,Financial Planning Manager,,136000,9000,USD,,,United States of America,New York,New York,11-20 years,11-20 years,Master's degree,Woman,White
35-44,"Accounting, Banking & Finance",Branch Manager,,69700,10000,USD,,Base Salary + Quarterly Bonuses,United States of America,Washington,Seattle,11-20 years,8-10 years,College degree,Woman,White
25-34,Business or Consulting,Principal,,84000,12000,USD,,Additional comp is estimated based on a 15% target bonus,United States of America,Virginia,Arlington,8-10 years,8-10 years,College degree,Woman,White
18-24,Education (Higher Education),Senior Admission Counselor,,50000,0,USD,,,United States of America,Louisiana,New Orleans,2-4 years,2-4 years,College degree,Woman,White
18-24,Business or Consulting,Environmental Consultant,Primarily air quality consulting; Manage $100-200K revenue/yr,83000,10000,USD,,,United States of America,Washington,Seattle,2-4 years,2-4 years,College degree,Woman,White
18-24,"Marketing, Advertising & PR",Internet Marketing Specialist,Account manager,42000,700,USD,,,United States of America,Pennsylvania,Lancaster,2-4 years,2-4 years,College degree,Woman,White
25-34,Research,"Research Assistant, Sr",,51362,0,USD,,,United States of America,Massachusetts,Boston,8-10 years,8-10 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Director of Sales Strategy,,125000,45000,USD,,,United States of America,Illinois,Chicago,11-20 years,11-20 years,Master's degree,Man,White
35-44,Education (Higher Education),Sr. Executive Assistant,Support VP/CIO of one of the top universities in the county,65000,,USD,,,United States of America,Pennsylvania,Pittsburgh,11-20 years,11-20 years,High School,Woman,White
25-34,Media & Digital,Assistant Production Editor,,41000,1000,USD,,,United States of America,Minnesota,Minneapolis,2-4 years,2-4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Recruitment or HR,Payroll Coordinator,"I am currently unemployed, but my last job was in a weird hybrid department that did work falling under the umbrellas of both HR and payroll while interfacing with the actual HR and payroll departments",45000,50,USD,,"As I mentioned in the previous context question, I am currently unemployed; this information is related to my most recent employer",United States of America,New York,Manhattan,2-4 years,2-4 years,College degree,Woman,White
35-44,Law,Attorney,Federal Government,108000,1000,USD,,,United States of America,Massachusetts,Boston,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Education (Primary/Secondary),Librarian,I'm a head/solo high school librarian,64000,5250,USD,,I do course scheduling for the school in the summer for an additional $5000 stipend (the $250 is miscellany),United States of America,Massachusetts,Boston,8-10 years,8-10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Government and Public Administration,Physical Scientist,,85500,,USD,,,United States of America,Maryland,Gaithersburg,11-20 years,11-20 years,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR",Senior Specialist,,68000,,USD,,,United States of America,Texas,San Antonio,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Computing or Tech,Global Program Senior Manager,,228000,0,USD,,,United States of America,Georgia,Atlanta,11-20 years,8-10 years,College degree,Woman,White
45-54,Nonprofits,Manager,Kind of a business operations manager,106080,4000,USD,,"Bonus amount varies year to year, from 0 to 7%, depending on goals being met",United States of America,Arizona,Tucson,21-30 years,11-20 years,Master's degree,Woman,"Middle Eastern or Northern African, White"
35-44,Law,Attorney,,103000,0,USD,,,United States of America,Massachusetts,Boston,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Government and Public Administration,Geologist II,I am a GIS Analyst,52000,0,USD,,,United States of America,Iowa,Des Moines,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Computing or Tech,SOC Analyst,,160000,,USD,,,United States of America,Ohio,Cedarville,8-10 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Technical Support Analyst,Tech support for a B2B software company adjacent to tourism/entertainment,65000,,USD,,,United States of America,Pennsylvania,Boyertown,5-7 years,5-7 years,College degree,Woman,White
25-34,Health care,Office Manager,,66500,2000,USD,,,United States of America,New Jersey,Mahwah,11-20 years,11-20 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Quantitative model analyst,,110000,20000,USD,,,United States of America,Minnesota,Minneapolis,8-10 years,8-10 years,Master's degree,Woman,Asian or Asian American
45-54,"Marketing, Advertising & PR",Senior Account Manager,,85000,70000,USD,,,United States of America,New York,Queens Village,8-10 years,8-10 years,College degree,Woman,Black or African American
45-54,Government and Public Administration,Laboratory Manager,,170000,0,USD,,,United States of America,California,San Francisco,31-40 years,21-30 years,Master's degree,Woman,White
35-44,Media & Digital,systems analyst,,45500,1100,USD,,,United States of America,Pennsylvania,Philadelphia,11-20 years,5-7 years,Master's degree,Man,White
18-24,Media & Digital,Software Developer,,72000,,USD,,"This is the gross income, before things are stored in my HSA, 401k, etc.",United States of America,Illinois,Moline,2-4 years,2-4 years,College degree,Woman,Asian or Asian American
35-44,Computing or Tech,Web developer,,73000,,USD,,"I am part of a union. So while my income is a bit below what I believe is market rate, in addition to income, I receive benefits including but not limited to: health/dental insurance with extremely low premiums and deductible, better than matching retirement benefits, ample time off (up to 2 weeks annually which rollover to a max of 60 days), and job security.",United States of America,Connecticut,Storrs,8-10 years,5-7 years,PhD,Man,White
35-44,Computing or Tech,Director of IT,,175000,5000,USD,,,United States of America,California,San Francisco,21-30 years,11-20 years,Some college,Man,White
45-54,Engineering or Manufacturing,Engineering Manager,,168000,17000,USD,,,United States of America,Oregon,Portland,31-40 years,21-30 years,Master's degree,Man,White
45-54,Insurance,Insurance Producer,aka Insurance Agent (legal title is producer in our state),32408,6000,USD,,Base & commission,United States of America,Illinois,Chicago,31-40 years,5-7 years,Some college,Woman,White
35-44,"Accounting, Banking & Finance",Accounting Director,,135000,20000,USD,,,United States of America,Colorado,Denver,11-20 years,11-20 years,Master's degree,Woman,White
35-44,"Accounting, Banking & Finance",Sales Manager,,44750,500,USD,,,United States of America,Ohio,Wauseon,21-30 years,21-30 years,Some college,Woman,White
25-34,Sales,Sales Program Manager,,140000,5000,USD,,,United States of America,Texas,Dallas,8-10 years,5-7 years,Master's degree,Woman,White
25-34,"Accounting, Banking & Finance",Admin Assistant,,40000,5000,USD,,,United States of America,Tennessee,Gallatin,8-10 years,8-10 years,College degree,Woman,White
18-24,Computing or Tech,Software Engineer,,95000,3800,USD,,,United States of America,"Arizona, Utah",Tucson,2-4 years,1 year or less,College degree,Woman,"Asian or Asian American, White"
25-34,Education (Higher Education),Web Content Manager,,84000,0,USD,,,United States of America,Massachusetts,Boston,8-10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Government and Public Administration,Systems Librarian,,110000,0,USD,,,United States of America,Washington,Seattle,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Product Owner,,103000,6000,USD,,I take side contracts ranging from 70-125 per hr - This is not included in my salary calculations,United States of America,Georgia,Atlanta,8-10 years,8-10 years,College degree,Woman,Black or African American
25-34,"Accounting, Banking & Finance",Staff Accountant,Corporate Staff Accountant,65500,3500,USD,,,United States of America,North Carolina,Charlotte,2-4 years,2-4 years,College degree,Woman,White
35-44,Health care,Human Resources director,,100000,0,USD,,,United States of America,Iowa,Dubuque,11-20 years,11-20 years,College degree,Woman,White
25-34,Education (Higher Education),Instruction Librarian,,45000,0,USD,,,United States of America,Minnesota,Minneapolis,5-7 years,5-7 years,Master's degree,Man,White
25-34,"Accounting, Banking & Finance",Risk Manager,,92000,9000,USD,,,United States of America,South Carolina,Greenville,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Media & Digital,Operations Specialist,,39000,0,USD,,,United States of America,Minnesota,Minnetonka,5-7 years,2-4 years,College degree,Woman,White
18-24,Business or Consulting,Field technician,Environmental,52900,10000,USD,,,United States of America,"Oregon, Washington",Portland,1 year or less,1 year or less,College degree,Woman,"Asian or Asian American, Hispanic, Latino, or Spanish origin, White"
35-44,Retail,Department manager - grocery store,,58000,0,USD,,,United States of America,Texas,Austin,11-20 years,11-20 years,Some college,Woman,White
25-34,Law,Legal Secretary,,33200,0,USD,,,United States of America,New Jersey,Linden,8-10 years,2-4 years,Some college,Woman,White
35-44,Scientific research,Clinical epidemiologist,,76000,5000,USD,,,United States of America,Colorado,Denver,11-20 years,11-20 years,Master's degree,Woman,White
18-24,Government and Public Administration,Statistician,,64000,12000,USD,,,United States of America,Maryland,Washington,2-4 years,2-4 years,College degree,Man,White
35-44,Health care,Sr. Privacy Manager,,140000,20000,USD,,,United States of America,Georgia,Atlanta,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American
35-44,"Accounting, Banking & Finance",Agile Project Management,,86000,8000,USD,,,United States of America,Texas,San Antonio,11-20 years,5-7 years,College degree,Woman,White
35-44,Business or Consulting,Managing Consultant,,130000,7000,USD,,,United States of America,Virginia,Arlington,11-20 years,5-7 years,Master's degree,Woman,White
55-64,Education (Higher Education),Business Intelligence Analyst / Team Lead,,120000,0,USD,,,United States of America,Minnesota,Saint Paul,31-40 years,31-40 years,College degree,Man,White
35-44,Computing or Tech,Lead Software Engineer,,162000,0,USD,,,United States of America,Virginia,Herndon,11-20 years,11-20 years,College degree,Man,White
35-44,Health care,LPN,,43000,,USD,,,United States of America,Wisconsin,Racine,11-20 years,8-10 years,College degree,Woman,White
55-64,Business or Consulting,Senior Analyst,I'm basically a data analyst who's been around for a while,87500,0,USD,,,United States of America,Illinois,Chicago,21-30 years,11-20 years,Master's degree,Woman,White
35-44,Insurance,Marketing Analyst,,92781,12000,USD,,,United States of America,Illinois,Bloomington,11-20 years,5-7 years,College degree,Woman,White
35-44,"Accounting, Banking & Finance",Senior Accountant,,62400,0,USD,,,United States of America,Washington,Vancouver,11-20 years,11-20 years,Master's degree,Other or prefer not to answer,White
55-64,Entertainment,Systems Engineer,,117500,,USD,,,United States of America,Wisconsin,Green Bay,21-30 years,11-20 years,Some college,Man,White
25-34,Computing or Tech,Senior bioinformatics scientist,,170420,20000,USD,,,United States of America,California,San Francisco,2-4 years,2-4 years,PhD,Woman,White
35-44,Health care,"Director, Enterprise IT Applications",,160000,,USD,,,United States of America,Georgia,Atlanta,11-20 years,11-20 years,Master's degree,Non-binary,White
25-34,Nonprofits,Minister of music and worship,,41500,500,USD,,,United States of America,North Carolina,Durham,2-4 years,2-4 years,Master's degree,Woman,White
25-34,Scientific Research,Postdoctoral associate,,48000,0,USD,,,United States of America,Utah,Salt Lake,1 year or less,5-7 years,PhD,Man,White
25-34,Nonprofits,Development Associate,Responsibilities equivalent to Development Manager,60000,0,USD,,,United States of America,Georgia,Atlanta,8-10 years,5-7 years,College degree,Woman,White
35-44,Health care,RN coordinator,,90000,500,USD,,I have a per diem and I make $50 an hour and average 12 hours a week,United States of America,New York,New York,11-20 years,41 years or more,College degree,Woman,Black or African American
35-44,Education (Higher Education),Director of Communications,I am director of communications for a graduate school within a university,82000,,USD,,,United States of America,New York,New York,11-20 years,8-10 years,Master's degree,Woman,White
45-54,Nonprofits,"Vice President, Grants and Contracts",,180000,,USD,,,United States of America,District of Columbia,Washington,31-40 years,21-30 years,Master's degree,Woman,White
25-34,Education (Higher Education),Coordinator,,52000,,USD,,,United States of America,Illinois,Champaign,8-10 years,8-10 years,College degree,Woman,White
25-34,Business or Consulting,Associate Brand Manager,,110000,10000,USD,,,United States of America,Minnesota,Minneapolis,5-7 years,1 year or less,Master's degree,Woman,Asian or Asian American
25-34,Nonprofits,Education Program Coordinator,,45000,0,USD,,,United States of America,Kentucky,Lexington,5-7 years,2-4 years,College degree,Woman,White
35-44,Law,Paralegal Specialist,,100530,,USD,,,United States of America,District of Columbia,Washington,8-10 years,5-7 years,Master's degree,Man,Black or African American
45-54,Transport or Logistics,IT PROJECT MANAGER,,100000,15000,USD,,,United States of America,Arizona,Phoenix,21-30 years,5-7 years,Some college,Woman,White
55-64,Health care,Proposal Manager,Supporting sales efforts by managing the process of responding to requests for proposal (RFPs).,79880,2000,USD,,,United States of America,Pennsylvania,Philadelphia,41 years or more,21-30 years,Master's degree,Woman,White
35-44,Education (Primary/Secondary),Teacher,,72000,,USD,,,United States of America,New York,Wheatfield,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Recruitment or HR,Talent Advisor,I’m a recruiter lol,50000,0,USD,,Contract employee,United States of America,Missouri,St. Louis,2-4 years,2-4 years,College degree,Woman,White
45-54,Education (Higher Education),Academic librarian,,47000,0,USD,,,United States of America,Texas,Fort Worth,11-20 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Law,Attorney,Non-equity partner at small law firm,180000,,USD,,,United States of America,Pennsylvania,Philadelphia,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Computing or Tech,Production Support Analyst - Configuration,,52500,2500,USD,,,United States of America,Michigan,East Lansing,8-10 years,2-4 years,Some college,Woman,Black or African American
35-44,Business or Consulting,Contracts Manager,,95000,,USD,,,United States of America,Massachusetts,Boston,11-20 years,2-4 years,"Professional degree (MD, JD, etc.)",Man,White
18-24,Computing or Tech,Software engineer,,136000,13600,USD,,,United States of America,New York,New York,2-4 years,2-4 years,College degree,Man,Black or African American
35-44,Sales,Operations Specialist,,71000,,USD,,,United States of America,California,Pleasanton,11-20 years,8-10 years,Some college,Woman,White
35-44,Computing or Tech,Software Engineer,,190000,5000,USD,,,United States of America,New York,Troy,11-20 years,11-20 years,College degree,Man,White
